,File,Count,Location,Emotions
0,../images/0.jpg,0,[],
1,../images/33474154_1569286032341471_r.jpg,2,"[(142, 662, 365, 439), (259, 199, 367, 91)]","['Fear', 'Surprise']"
2,../images/36835844_1576190421716323_r.jpg,0,[],
3,../images/38668776_1583694474494563_r.jpg,0,[],
4,../images/39160502_1571973681329786_r.jpg,8,"[(1047, 1668, 1845, 869), (1623, 2783, 1697, 2709), (1880, 2891, 1954, 2817), (1832, 675, 2017, 489), (558, 3113, 825, 2846), (1569, 2922, 1659, 2833), (587, 646, 855, 379), (1651, 2687, 1702, 2635)]","['Fear', 'Happy', 'Happy', 'Surprise', 'Surprise', 'Surprise', 'Surprise', 'Surprise']"
5,../images/40646290_1568464155193296_r.jpg,1,"[(53, 268, 182, 139)]",['Fear']
6,../images/41515298_1571922892539050_r.jpg,1,"[(291, 489, 514, 266)]",['Surprise']
7,../images/41762048_157229225993895_r.jpg,0,[],
8,../images/41786222_1598936360290293_r.jpg,0,[],
9,../images/41921896_1568131291462568_r.jpg,0,[],
10,../images/41933788_156815697649937_r.jpg,1,"[(869, 1763, 2019, 613)]",['Surprise']
11,../images/41933950_1569375859629934_r.jpg,0,[],
12,../images/41938004_1568339588309130_r.jpg,31,"[(570, 725, 606, 689), (522, 897, 558, 861), (626, 1129, 662, 1093), (518, 233, 554, 197), (630, 209, 666, 173), (462, 609, 498, 573), (646, 781, 682, 745), (630, 1021, 666, 985), (410, 981, 446, 945), (574, 957, 610, 921), (426, 565, 462, 529), (378, 337, 414, 301), (398, 829, 434, 793), (418, 777, 454, 741), (650, 77, 686, 41), (522, 1001, 558, 965), (638, 553, 674, 517), (638, 449, 674, 413), (418, 673, 454, 637), (574, 601, 610, 565), (622, 661, 658, 625), (626, 333, 662, 297), (462, 821, 498, 785), (510, 453, 546, 417), (474, 197, 510, 161), (521, 564, 564, 520), (650, 905, 686, 869), (466, 505, 502, 469), (586, 173, 622, 137), (382, 197, 418, 161), (414, 869, 450, 833)]","['Happy', 'Happy', 'Happy', 'Fear', 'Happy', 'Surprise', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Surprise', 'Fear', 'Fear', 'Fear', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Fear', 'Happy', 'Fear', 'Fear', 'Happy', 'Fear', 'Fear', 'Fear', 'Fear', 'Fear', 'Happy']"
13,../images/41941108_1568176620221699_r.jpg,0,[],
14,../images/41941788_1579807503405199_r.jpg,1,"[(426, 2289, 1224, 1490)]",['Fear']
15,../images/41944364_1568194818159737_r.jpg,0,[],
16,../images/41955458_1568228464578140_r.jpg,0,[],
17,../images/41969418_1568317140577114_r.jpg,1,"[(297, 2197, 759, 1734)]",['Happy']
18,../images/41970614_1568476544563585_r.jpg,5,"[(1295, 2120, 1481, 1934), (1233, 2533, 1419, 2347), (1233, 1666, 1419, 1480), (1158, 2891, 1381, 2668), (1192, 3420, 1377, 3234)]","['Fear', 'Surprise', 'Surprise', 'Fear', 'Angry']"
19,../images/41981258_1569951524423126_r.jpg,0,[],
20,../images/41981714_1568315268634805_r.jpg,1,"[(171, 854, 439, 587)]",['Fear']
21,../images/41983976_1580050705196231_r.jpg,1,"[(800, 469, 985, 283)]",['Fear']
22,../images/41990564_1569095022891610_r.jpg,0,[],
23,../images/42002054_1568387181921332_r.jpg,0,[],
24,../images/42003916_1568582138457553_r.jpg,0,[],
25,../images/42022758_1568464295655736_r.jpg,1,"[(313, 990, 634, 669)]",['Fear']
26,../images/42031812_156855719195844_r.jpg,1,"[(806, 550, 868, 487)]",['Fear']
27,../images/42037410_1569027268117061_r.jpg,1,"[(196, 626, 325, 497)]",['Fear']
28,../images/42042588_1568553664624872_r.jpg,5,"[(187, 593, 295, 485), (136, 126, 226, 36), (176, 344, 265, 255), (82, 784, 211, 655), (152, 462, 259, 354)]","['Happy', 'Happy', 'Happy', 'Fear', 'Fear']"
29,../images/42054478_156859512664257_r.jpg,1,"[(677, 282, 785, 175)]",['Happy']
30,../images/42072168_1568924559737849_r.jpg,1,"[(87, 508, 149, 446)]",['Angry']
31,../images/42073060_1568666425550407_r.jpg,0,[],
32,../images/42080164_1569721747986761_r.jpg,1,"[(830, 2001, 1789, 1043)]",['Surprise']
33,../images/42081760_1573504569671728_r.jpg,1,"[(96, 483, 225, 354)]",['Happy']
34,../images/42094780_1572369542462332_r.jpg,1,"[(387, 944, 573, 758)]",['Fear']
35,../images/42101332_1568764291765723_r.jpg,0,[],
36,../images/42116492_1568827418433297_r.jpg,1,"[(136, 215, 226, 126)]",['Happy']
37,../images/42142676_1568927054862418_r.jpg,5,"[(149, 446, 211, 384), (86, 275, 176, 185), (105, 154, 179, 79), (80, 736, 187, 629), (63, 643, 138, 569)]","['Fear', 'Fear', 'Fear', 'Fear', 'Fear']"
38,../images/42151868_15689357272949_r.jpg,3,"[(139, 511, 268, 382), (125, 167, 254, 38), (80, 342, 187, 235)]","['Angry', 'Angry', 'Fear']"
39,../images/42152604_1585489520629162_r.jpg,1,"[(33, 504, 418, 118)]",['Fear']
40,../images/42162688_1569024448164283_r.jpg,1,"[(277, 384, 598, 63)]",['Surprise']
41,../images/42165134_1568994195619150_r.jpg,0,[],
42,../images/42171146_1569256704822992_r.jpg,0,[],
43,../images/42180138_1572020219327876_r.jpg,0,[],
44,../images/42190662_1595705100155792_r.jpg,0,[],
45,../images/42200342_1569130698225423_r.jpg,0,[],
46,../images/42209786_1569405548140206_r.jpg,2,"[(288, 511, 442, 356), (93, 464, 316, 241)]","['Surprise', 'Surprise']"
47,../images/42224944_1569244353780450_r.jpg,0,[],
48,../images/42259690_1569392054248801_r.jpg,1,"[(76, 461, 461, 76)]",['Surprise']
49,../images/42260568_1569356335111991_r.jpg,1,"[(605, 1991, 1067, 1529)]",['Angry']
50,../images/42262694_1569360930851723_r.jpg,1,"[(357, 479, 911, 0)]",['Happy']
51,../images/42263526_1569363390209946_r.jpg,1,"[(170, 314, 222, 262)]",['Surprise']
52,../images/42302774_1569504973750908_r.jpg,0,[],
53,../images/42316208_1569631232461245_r.jpg,2,"[(387, 1253, 573, 1067), (345, 1460, 531, 1274)]","['Happy', 'Fear']"
54,../images/42328106_1598359305359460_r.jpg,0,[],
55,../images/42328896_1587656278923965_r.jpg,1,"[(1240, 1240, 1561, 919)]",['Fear']
56,../images/42330194_1569603758448933_r.jpg,6,"[(1000, 1871, 1107, 1763), (316, 1058, 539, 835), (868, 1068, 930, 1006), (295, 315, 385, 225), (884, 1687, 1013, 1558), (152, 509, 259, 402)]","['Fear', 'Surprise', 'Angry', 'Fear', 'Happy', 'Surprise']"
57,../images/42334714_1569777697236752_r.jpg,1,"[(90, 412, 141, 360)]",['Fear']
58,../images/42342670_156964613355198_r.jpg,2,"[(118, 572, 304, 386), (236, 717, 391, 562)]","['Fear', 'Happy']"
59,../images/42357668_1569710631203928_r.jpg,0,[],
60,../images/42366812_1570113158257185_r.jpg,0,[],
61,../images/42373316_1570247920215719_r.jpg,0,[],
62,../images/42379646_1569804686778458_r.jpg,1,"[(862, 1683, 1324, 1221)]",['Fear']
63,../images/42390388_156986417154241_r.jpg,3,"[(718, 932, 1103, 546), (451, 1529, 913, 1067), (1146, 1745, 1531, 1359)]","['Happy', 'Surprise', 'Fear']"
64,../images/42392672_1569864017129085_r.jpg,0,[],
65,../images/42402836_1570480229253823_r.jpg,1,"[(297, 964, 759, 502)]",['Surprise']
66,../images/42405684_1577477575574567_r.jpg,27,"[(329, 1199, 391, 1137), (159, 2750, 211, 2698), (308, 2043, 370, 1980), (426, 2038, 534, 1931), (315, 985, 377, 923), (130, 2019, 182, 1967), (454, 2647, 583, 2518), (412, 2422, 464, 2370), (605, 2347, 668, 2285), (170, 2484, 214, 2440), (61, 2082, 113, 2030), (184, 769, 339, 614), (366, 1725, 418, 1673), (78, 2698, 130, 2647), (55, 2551, 98, 2508), (2, 900, 46, 856), (529, 2271, 592, 2209), (12, 2316, 55, 2272), (281, 2395, 343, 2333), (132, 1192, 175, 1149), (44, 492, 95, 440), (53, 1884, 115, 1821), (18, 785, 80, 722), (38, 1068, 90, 1016), (3, 2001, 55, 1950), (370, 1925, 433, 1863), (59, 2229, 122, 2167)]","['Angry', 'Fear', 'Fear', 'Fear', 'Fear', 'Happy', 'Fear', 'Happy', 'Surprise', 'Happy', 'Surprise', 'Fear', 'Fear', 'Happy', 'Surprise', 'Happy', 'Fear', 'Surprise', 'Fear', 'Happy', 'Fear', 'Fear', 'Surprise', 'Happy', 'Happy', 'Fear', 'Surprise']"
67,../images/42405896_1569895298172099_r.jpg,2,"[(125, 282, 254, 153), (153, 425, 282, 296)]","['Fear', 'Surprise']"
68,../images/42416276_1569944820317640_r.jpg,1,"[(118, 439, 341, 216)]",['Fear']
69,../images/42421582_158474432897667_r.jpg,1,"[(278, 397, 314, 361)]",['Fear']
70,../images/42423438_1569962690256621_r.jpg,0,[],
71,../images/42426002_1570024502373729_r.jpg,3,"[(213, 942, 287, 867), (236, 275, 325, 185), (76, 643, 166, 554)]","['Fear', 'Fear', 'Fear']"
72,../images/42432178_1570796701931468_r.jpg,1,"[(1220, 1774, 1774, 1219)]",['Surprise']
73,../images/42435902_157060347292167_r.jpg,0,[],
74,../images/42438312_1570770213259175_r.jpg,0,[],
75,../images/42438458_1580694586485285_r.jpg,1,"[(201, 854, 468, 587)]",['Surprise']
76,../images/42474004_1595361502150087_r.jpg,1,"[(199, 187, 307, 79)]",['Surprise']
77,../images/42488160_1571869314406931_r.jpg,1,"[(99, 526, 420, 205)]",['Fear']
78,../images/42494322_1570211087299317_r.jpg,0,[],
79,../images/42494628_1570211888986757_r.jpg,1,"[(781, 2377, 1579, 1579)]",['Happy']
80,../images/42512092_1570291299880593_r.jpg,1,"[(486, 2147, 1636, 996)]",['Fear']
81,../images/42516576_1570307730251045_r.jpg,1,"[(204, 546, 590, 161)]",['Fear']
82,../images/42527982_1570370310611314_r.jpg,0,[],
83,../images/42531782_1570464450434199_r.jpg,0,[],
84,../images/42540024_15704104972557_r.jpg,2,"[(390, 1133, 613, 910), (712, 885, 935, 662)]","['Fear', 'Fear']"
85,../images/42550616_1570462847112456_r.jpg,3,"[(469, 726, 598, 597), (408, 1010, 563, 855), (374, 442, 528, 287)]","['Surprise', 'Fear', 'Happy']"
86,../images/42551376_1570469180695980_r.jpg,0,[],
87,../images/42552882_1570470592430166_r.jpg,3,"[(374, 683, 528, 528), (12, 287, 167, 132), (0, 675, 180, 489)]","['Surprise', 'Surprise', 'Fear']"
88,../images/42554326_1571067946557845_r.jpg,0,[],
89,../images/42562560_1571145596429969_r.jpg,0,[],
90,../images/42569554_1578457439591978_r.jpg,0,[],
91,../images/42579064_1570557749460808_r.jpg,1,"[(0, 2108, 937, 1149)]",['Surprise']
92,../images/42597790_1570630517933781_r.jpg,1,"[(1224, 2910, 2023, 2111)]",['Fear']
93,../images/42607856_1570655453109751_r.jpg,1,"[(192, 637, 415, 414)]",['Surprise']
94,../images/42634316_1570749324411821_r.jpg,1,"[(82, 319, 350, 52)]",['Fear']
95,../images/42636806_1570763038705898_r.jpg,2,"[(113, 419, 188, 345), (113, 486, 188, 411)]","['Fear', 'Fear']"
96,../images/42643768_1570925355316184_r.jpg,4,"[(211, 339, 340, 210), (184, 597, 339, 442), (67, 425, 196, 296), (175, 187, 283, 79)]","['Surprise', 'Surprise', 'Surprise', 'Surprise']"
97,../images/42655728_1570839445968269_r.jpg,1,"[(320, 1270, 587, 1003)]",['Fear']
98,../images/42664976_1571262599443620_r.jpg,0,[],
99,../images/42679268_1571463645968058_r.jpg,0,[],
100,../images/42681010_1570975102570462_r.jpg,1,"[(348, 960, 811, 502)]",['Surprise']
101,../images/42691978_1571059320392702_r.jpg,3,"[(199, 987, 307, 880), (723, 922, 813, 832), (223, 1095, 331, 987)]","['Angry', 'Surprise', 'Fear']"
102,../images/42704384_1572213127437164_r.jpg,7,"[(252, 405, 295, 362), (262, 564, 305, 520), (108, 597, 151, 554), (242, 127, 286, 84), (74, 347, 118, 304), (258, 273, 294, 237), (108, 717, 151, 674)]","['Fear', 'Surprise', 'Fear', 'Fear', 'Fear', 'Fear', 'Fear']"
103,../images/42704578_1596540085921595_r.jpg,1,"[(280, 1093, 946, 428)]",['Surprise']
104,../images/42758478_157150470954503_r.jpg,4,"[(990, 954, 1311, 633), (1684, 1837, 2146, 1375), (1788, 1188, 2173, 803), (1103, 2515, 1488, 2130)]","['Surprise', 'Surprise', 'Surprise', 'Fear']"
105,../images/42759818_1571274691298690_r.jpg,0,[],
